,fips,fraction_votes,candidate
134,19019,0.13100000000000001,Marco Rubio
135,19019,0.0,Martin O'Malley
136,19019,0.018000000000000002,Mike Huckabee
137,19019,0.042000000000000003,Rand Paul
138,19019,0.0050000000000000001,Rick Santorum
139,19019,0.36799999999999999,Ted Cruz
140,19021,0.096000000000000002,Ben Carson
141,19021,0.48599999999999999,Bernie Sanders
142,19021,0.02,Carly Fiorina
143,19021,0.0069999999999999993,Chris Christie
144,19021,0.249,Donald Trump
145,19021,0.48599999999999999,Hillary Clinton
146,19021,0.023,Jeb Bush
147,19021,0.014999999999999999,John Kasich
148,19021,0.219,Marco Rubio
149,19021,0.028000000000000001,Martin O'Malley
150,19021,0.018000000000000002,Mike Huckabee
151,19021,0.025999999999999999,Rand Paul
152,19021,0.021999999999999999,Rick Santorum
153,19021,0.30599999999999999,Ted Cruz
154,19023,0.11899999999999999,Ben Carson
155,19023,0.58299999999999996,Bernie Sanders
156,19023,0.02,Carly Fiorina
157,19023,0.0069999999999999993,Chris Christie
158,19023,0.24199999999999999,Donald Trump
159,19023,0.41699999999999998,Hillary Clinton
160,19023,0.025999999999999999,Jeb Bush
161,19023,0.0030000000000000001,John Kasich
162,19023,0.159,Marco Rubio
163,19023,0.0,Martin O'Malley
164,19023,0.023,Mike Huckabee
165,19023,0.035000000000000003,Rand Paul
166,19023,0.001,Rick Santorum
167,19023,0.36499999999999999,Ted Cruz
168,19025,0.066000000000000003,Ben Carson
169,19025,0.5,Bernie Sanders
170,19025,0.014,Carly Fiorina
171,19025,0.0090000000000000011,Chris Christie
172,19025,0.24399999999999999,Donald Trump
173,19025,0.5,Hillary Clinton
174,19025,0.018000000000000002,Jeb Bush
175,19025,0.012999999999999999,John Kasich
176,19025,0.217,Marco Rubio
177,19025,0.0,Martin O'Malley
178,19025,0.063,Mike Huckabee
179,19025,0.036000000000000004,Rand Paul
180,19025,0.034000000000000002,Rick Santorum
181,19025,0.28499999999999998,Ted Cruz
182,19027,0.067000000000000004,Ben Carson
183,19027,0.37,Bernie Sanders
184,19027,0.042999999999999997,Carly Fiorina
185,19027,0.0069999999999999993,Chris Christie
186,19027,0.28999999999999998,Donald Trump
187,19027,0.63,Hillary Clinton
188,19027,0.058000000000000003,Jeb Bush
189,19027,0.014,John Kasich
190,19027,0.224,Marco Rubio
191,19027,0.0,Martin O'Malley
192,19027,0.010999999999999999,Mike Huckabee
193,19027,0.029999999999999999,Rand Paul
194,19027,0.0050000000000000001,Rick Santorum
195,19027,0.25,Ted Cruz
196,19029,0.154,Ben Carson
197,19029,0.38,Bernie Sanders
198,19029,0.010999999999999999,Carly Fiorina
199,19029,0.016,Chris Christie
200,19029,0.28399999999999997,Donald Trump
201,19029,0.59999999999999998,Hillary Clinton
202,19029,0.037000000000000005,Jeb Bush
203,19029,0.023,John Kasich
204,19029,0.19,Marco Rubio
205,19029,0.02,Martin O'Malley
206,19029,0.018000000000000002,Mike Huckabee
207,19029,0.01,Rand Paul
208,19029,0.014,Rick Santorum
209,19029,0.24399999999999999,Ted Cruz
210,19031,0.092999999999999999,Ben Carson
211,19031,0.55700000000000005,Bernie Sanders
212,19031,0.018000000000000002,Carly Fiorina
213,19031,0.0080000000000000002,Chris Christie
214,19031,0.26300000000000001,Donald Trump
215,19031,0.443,Hillary Clinton
216,19031,0.016,Jeb Bush
217,19031,0.024,John Kasich
218,19031,0.224,Marco Rubio
219,19031,0.0,Martin O'Malley
220,19031,0.012,Mike Huckabee
221,19031,0.040000000000000001,Rand Paul
222,19031,0.0060000000000000001,Rick Santorum
223,19031,0.28999999999999998,Ted Cruz
224,19033,0.079000000000000001,Ben Carson
225,19033,0.504,Bernie Sanders
226,19033,0.018000000000000002,Carly Fiorina
227,19033,0.049000000000000002,Chris Christie
228,19033,0.25700000000000001,Donald Trump
229,19033,0.496,Hillary Clinton
230,19033,0.050999999999999997,Jeb Bush
231,19033,0.012,John Kasich
232,19033,0.192,Marco Rubio
233,19033,0.0,Martin O'Malley
234,19033,0.017000000000000001,Mike Huckabee
235,19033,0.034000000000000002,Rand Paul
236,19033,0.0080000000000000002,Rick Santorum
237,19033,0.28199999999999997,Ted Cruz
238,19035,0.14199999999999999,Ben Carson
239,19035,0.54600000000000004,Bernie Sanders
240,19035,0.012999999999999999,Carly Fiorina
241,19035,0.0060000000000000001,Chris Christie
242,19035,0.29600000000000004,Donald Trump
243,19035,0.45400000000000001,Hillary Clinton
244,19035,0.019,Jeb Bush
245,19035,0.0060000000000000001,John Kasich
246,19035,0.28999999999999998,Marco Rubio
247,19035,0.0,Martin O'Malley
248,19035,0.02,Mike Huckabee
249,19035,0.014,Rand Paul
250,19035,0.0060000000000000001,Rick Santorum
251,19035,0.187,Ted Cruz
252,19037,0.095000000000000001,Ben Carson
253,19037,0.38900000000000001,Bernie Sanders
254,19037,0.044999999999999998,Carly Fiorina
255,19037,0.0030000000000000001,Chris Christie
256,19037,0.27600000000000002,Donald Trump
257,19037,0.60099999999999998,Hillary Clinton
258,19037,0.018000000000000002,Jeb Bush
259,19037,0.0050000000000000001,John Kasich
260,19037,0.23799999999999999,Marco Rubio
261,19037,0.01,Martin O'Malley
262,19037,0.01,Mike Huckabee
263,19037,0.029999999999999999,Rand Paul
264,19037,0.01,Rick Santorum
265,19037,0.26800000000000002,Ted Cruz
266,19039,0.10100000000000001,Ben Carson
267,19039,0.41999999999999998,Bernie Sanders
268,19039,0.016,Carly Fiorina
269,19039,0.016,Chris Christie
270,19039,0.36299999999999999,Donald Trump
271,19039,0.57999999999999996,Hillary Clinton
272,19039,0.021999999999999999,Jeb Bush
273,19039,0.0050000000000000001,John Kasich
274,19039,0.158,Marco Rubio
275,19039,0.0,Martin O'Malley
276,19039,0.014,Mike Huckabee
277,19039,0.027000000000000003,Rand Paul
278,19039,0.0,Rick Santorum
279,19039,0.27800000000000002,Ted Cruz
280,19041,0.151,Ben Carson
281,19041,0.50600000000000001,Bernie Sanders
282,19041,0.0080000000000000002,Carly Fiorina
283,19041,0.014999999999999999,Chris Christie
284,19041,0.28499999999999998,Donald Trump
285,19041,0.49399999999999999,Hillary Clinton
286,19041,0.016,Jeb Bush
287,19041,0.029999999999999999,John Kasich
288,19041,0.14499999999999999,Marco Rubio
289,19041,0.0,Martin O'Malley
290,19041,0.024,Mike Huckabee
291,19041,0.027000000000000003,Rand Paul
292,19041,0.014,Rick Santorum
293,19041,0.28399999999999997,Ted Cruz
294,19043,0.079000000000000001,Ben Carson
295,19043,0.51000000000000001,Bernie Sanders
296,19043,0.031,Carly Fiorina
297,19043,0.010999999999999999,Chris Christie
298,19043,0.29399999999999998,Donald Trump
299,19043,0.48999999999999999,Hillary Clinton
300,19043,0.031,Jeb Bush
301,19043,0.012999999999999999,John Kasich
302,19043,0.129,Marco Rubio
303,19043,0.0,Martin O'Malley
304,19043,0.02,Mike Huckabee
305,19043,0.034000000000000002,Rand Paul
306,19043,0.0060000000000000001,Rick Santorum
307,19043,0.35200000000000004,Ted Cruz
308,19045,0.069000000000000006,Ben Carson
309,19045,0.51400000000000001,Bernie Sanders
310,19045,0.029999999999999999,Carly Fiorina
311,19045,0.010999999999999999,Chris Christie
312,19045,0.307,Donald Trump
313,19045,0.48599999999999999,Hillary Clinton
314,19045,0.045999999999999999,Jeb Bush
315,19045,0.018000000000000002,John Kasich
316,19045,0.19900000000000001,Marco Rubio
317,19045,0.0,Martin O'Malley
318,19045,0.0069999999999999993,Mike Huckabee
319,19045,0.041000000000000002,Rand Paul
320,19045,0.0030000000000000001,Rick Santorum
321,19045,0.26900000000000002,Ted Cruz
322,19047,0.089999999999999997,Ben Carson
323,19047,0.41699999999999998,Bernie Sanders
324,19047,0.034000000000000002,Carly Fiorina
325,19047,0.02,Chris Christie
326,19047,0.30599999999999999,Donald Trump
327,19047,0.45100000000000001,Hillary Clinton
328,19047,0.017000000000000001,Jeb Bush
329,19047,0.010999999999999999,John Kasich
330,19047,0.16300000000000001,Marco Rubio
331,19047,0.13200000000000001,Martin O'Malley
332,19047,0.01,Mike Huckabee
333,19047,0.017000000000000001,Rand Paul
334,19047,0.0069999999999999993,Rick Santorum
335,19047,0.32299999999999995,Ted Cruz
336,19049,0.067000000000000004,Ben Carson
337,19049,0.41699999999999998,Bernie Sanders
338,19049,0.018000000000000002,Carly Fiorina
339,19049,0.029000000000000001,Chris Christie
340,19049,0.20699999999999999,Donald Trump
341,19049,0.57499999999999996,Hillary Clinton
342,19049,0.029000000000000001,Jeb Bush
343,19049,0.023,John Kasich
344,19049,0.33900000000000002,Marco Rubio
345,19049,0.0080000000000000002,Martin O'Malley
346,19049,0.0080000000000000002,Mike Huckabee
347,19049,0.037999999999999999,Rand Paul
348,19049,0.0080000000000000002,Rick Santorum
349,19049,0.23200000000000001,Ted Cruz
350,19051,0.072000000000000008,Ben Carson
351,19051,0.41999999999999998,Bernie Sanders
352,19051,0.002,Carly Fiorina
353,19051,0.014999999999999999,Chris Christie
354,19051,0.38600000000000001,Donald Trump
355,19051,0.57999999999999996,Hillary Clinton
356,19051,0.019,Jeb Bush
357,19051,0.002,John Kasich
358,19051,0.070000000000000007,Marco Rubio
359,19051,0.0,Martin O'Malley
360,19051,0.072000000000000008,Mike Huckabee
361,19051,0.047,Rand Paul
362,19051,0.0,Rick Santorum
363,19051,0.316,Ted Cruz
364,19053,0.161,Ben Carson
365,19053,0.47199999999999998,Bernie Sanders
366,19053,0.0040000000000000001,Carly Fiorina
367,19053,0.0080000000000000002,Chris Christie
368,19053,0.25600000000000001,Donald Trump
369,19053,0.502,Hillary Clinton
370,19053,0.01,Jeb Bush
371,19053,0.0080000000000000002,John Kasich
372,19053,0.14699999999999999,Marco Rubio
373,19053,0.012999999999999999,Martin O'Malley
374,19053,0.012,Mike Huckabee
375,19053,0.037999999999999999,Rand Paul
376,19053,0.0080000000000000002,Rick Santorum
377,19053,0.34799999999999998,Ted Cruz
378,19055,0.10299999999999999,Ben Carson
379,19055,0.42999999999999999,Bernie Sanders
380,19055,0.058000000000000003,Carly Fiorina
