,party,candidate,fact,Rvalue,Pvalue,StdError,Slope,Intercept
0,Republican,Ben Carson,PST045214,-0.24100673244931012,0.016821579462317049,168071.25302519897,-408933.03753970447,74837.903391064028
1,Republican,Ben Carson,PST040210,-0.24140483047136335,0.016636045753120127,158678.28001901513,-386756.2181750288,71872.650394828815
2,Republican,Ben Carson,PST120214,-0.28277749345778563,0.0047835285557987989,8.6810772270577452,-25.07560709732542,2.0026440939424686
3,Republican,Ben Carson,POP010210,-0.24128409841362164,0.016692125205915623,158690.65276582315,-386580.97326676123,71848.859936220208
4,Republican,Ben Carson,AGE135214,-0.14602699860505161,0.15135865357474015,2.2030576047002479,-3.1862154098545972,6.2596351022000203
5,Republican,Ben Carson,AGE295214,-0.07582182760182303,0.45806535307199037,6.1123227552873125,-4.5539484939173231,23.456418365616489
6,Republican,Ben Carson,AGE775214,0.29488807333653366,0.0032021959831239426,8.7578050878391682,26.481522733970234,16.106735997204026
7,Republican,Ben Carson,SEX255214,-0.030470978126485981,0.76582058851632429,2.719642550760061,-0.8123357191371221,50.241068711665015
8,Republican,Ben Carson,RHI125214,0.31391914899495821,0.0016453762550615585,9.6883989171856637,31.385819103270514,92.353037449795735
9,Republican,Ben Carson,RHI225214,-0.27796956471640299,0.0055834629054369962,4.6974008301396744,-13.318412933402337,2.8410740870644458
10,Republican,Ben Carson,RHI325214,-0.075395199957370942,0.46060615884964995,2.5536252837180919,-1.8917962700658058,0.66346754200869862
11,Republican,Ben Carson,RHI425214,-0.23862516923064794,0.017969269873726202,4.953163230886596,-11.92518974347006,2.3956749268319184
12,Republican,Ben Carson,RHI525214,-0.015768037510453525,0.87752901700104502,0.41035070861909961,-0.063404844956550507,0.085281343337187607
13,Republican,Ben Carson,RHI625214,-0.25983758291444015,0.0097718862189737268,1.5298428425929009,-4.0333286242793776,1.6390780730857288
14,Republican,Ben Carson,RHI725214,-0.16680086948206502,0.10067707458405484,14.709754675178409,-24.38184580312819,7.0241237022881888
15,Republican,Ben Carson,RHI825214,0.27318764747473362,0.0064947434685778864,19.384091199114298,53.936748382621701,86.00328553595746
16,Republican,Ben Carson,POP715213,0.16831924642474211,0.097572217752099774,10.768560345656837,18.01639726382604,85.461754530376126
17,Republican,Ben Carson,POP645213,-0.23310612308791423,0.020891251405882393,9.403198552003456,-22.084981621777132,5.1892177999943936
18,Republican,Ben Carson,POP815213,-0.22221206973296784,0.027868299315325411,14.424429474602299,-32.210541196554345,8.8821992117292368
19,Republican,Ben Carson,EDU635213,0.069647942427005047,0.49557968979084621,9.3081689454874859,6.3674284462120836,89.455748975350332
20,Republican,Ben Carson,EDU685213,-0.19264888947423375,0.057367434372208523,20.004150581305229,-38.479969033108162,23.748732233085352
21,Republican,Ben Carson,VET605213,-0.24128592720165509,0.016691274525751483,10472.074060953752,-25510.87346701881,4996.2374359842051
22,Republican,Ben Carson,LFE305213,-0.023646016773320372,0.81722740687754181,9.9275311348043882,-2.3006805236557248,19.699595486845237
23,Republican,Ben Carson,HSG010214,-0.23938957542684963,0.017593754500287304,70458.436817337264,-170211.46065767147,31844.408760007253
24,Republican,Ben Carson,HSG445213,0.16930168090621031,0.09560375759291892,14.396474226237256,24.230818121447097,73.173491686351767
25,Republican,Ben Carson,HSG096213,-0.24194022368921408,0.01638931598666037,16.767472218354371,-40.964646992640958,16.948411775108973
26,Republican,Ben Carson,HSG495213,-0.174836537327487,0.085092092599190608,83025.379095003111,-144450.80395220022,119816.31926314559
27,Republican,Ben Carson,HSD410213,-0.24241453208593305,0.016173385990509659,63776.317207376931,-156136.56680507198,28976.952391177569
28,Republican,Ben Carson,HSD310213,-0.098811365382422411,0.33304264297865271,0.40391788259797551,-0.39297613198308068,2.4201587292326181
29,Republican,Ben Carson,INC910213,-0.17447780177689237,0.085744259656056254,7689.536931138794,-13350.243906358246,27003.156934212668
30,Republican,Ben Carson,INC110213,-0.06352825710274812,0.53429914246875598,18288.113784848967,-11406.426777829669,50460.878082784402
31,Republican,Ben Carson,PVY020213,-0.11702449101033847,0.25114722913222137,9.9627735091491516,-11.502360058601418,13.039703838446483
32,Republican,Ben Carson,BZA010213,-0.22647454051997321,0.024933004123819682,4271.492488856692,-9731.2375843337504,1844.3027039502583
33,Republican,Ben Carson,BZA110213,-0.22942635936298034,0.023058353221425895,88372.609066431891,-204097.7761245608,34683.86771620225
34,Republican,Ben Carson,BZA115213,-0.20351896008621295,0.044434029347049209,15.602268745046544,-31.777085054792231,3.0506137663596959
35,Republican,Ben Carson,NES010213,-0.2234822774377658,0.026964388958974302,10713.339895560235,-24067.393640022499,4616.1422391905444
36,Republican,Ben Carson,SBO001207,-0.22226157719487721,0.027832593064615999,13558.825752405603,-30284.6968403842,5843.2101115471887
37,Republican,Ben Carson,SBO315207,-0.19798110182950088,0.050682851839408904,1.5710036096561359,-3.1089894755991767,0.45962581481060266
38,Republican,Ben Carson,SBO115207,-0.18078883969843271,0.074836439545616334,0.12904985337747443,-0.23242385464537318,0.030719059148236381
39,Republican,Ben Carson,SBO215207,-0.1893654287816407,0.06183117734608358,1.532036446721579,-2.8949108453657306,0.44513388140089793
40,Republican,Ben Carson,SBO515207,-0.097941493122008019,0.33733695655784912,0.030938155351302031,-0.029832510396663337,0.0041774792379979126
41,Republican,Ben Carson,SBO415207,-0.30840580285912572,0.0020044739669745171,1.5330742263980861,-4.8699492885582316,0.67149228644527981
42,Republican,Ben Carson,SBO015207,-0.10373809407787893,0.30937991013566013,36.426663821768116,-37.225693223276004,18.657833310393833
